trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu0,8,7,tensor,0,1.5,0.0,0.0,216.35529406796533,0.0,0.0,11.466937217955648,0.0,nan,stable_crossover,True,False,1.4757232367874418,1.5741787314444549,-1.164193594154759,8.918833734220282e-14,0.001695459962691137,0.9999580712455045,7.943412487526733e-16
mu0,9,8,tensor,0,1.25,0.0,0.0,243.3057225326577,0.0,0.0,12.936356432086209,0.0,nan,stable_crossover,True,False,1.676011433820106,1.5728254289092611,-1.2206532592580577,1.6179973701741312e-13,0.002761252478296451,0.9999670990029998,7.730691724542278e-16
mu0,10,9,tensor,0,1.0,0.0,0.0,282.7652557531613,0.0,0.0,14.298380289341749,0.0,nan,stable_crossover,True,False,1.9941647253956716,1.5707071225500586,-1.2701721505075951,2.547987097867831e-13,0.0042676215465085165,0.9999762562058269,7.617768825313102e-16
mu0,11,10,tensor,0,0.75,0.0,0.0,346.18737624157274,0.0,0.0,15.469218134744926,0.0,nan,stable_crossover,True,False,2.5415717963245723,1.5682556728208152,-1.3105556566885341,1.3929834470235497e-09,0.006113515799602995,0.9999847768734272,7.97707163539173e-16
mu0,17,16,vector,0,5.0,0.0,0.0,87.1971791534744,0.0,0.0,0.6482510589201926,0.0,nan,stable_crossover,True,False,1.012654108049873,2.100858137853443,-0.0037361121715981183,2.1871878579190296e-08,0.0001324847044600646,0.9988719220663314,6.320369495719902e-16
mu0,16,15,vector,0,4.75,0.0,0.0,93.67231742323088,0.0,0.0,0.811478159031469,0.0,nan,stable_crossover,True,False,1.0047109037556927,1.947257268084504,-0.007762265571889126,7.171868843130829e-09,1.8937979400329275e-05,0.9988238143421714,6.421422159159618e-16
mu0,15,14,vector,0,4.5,0.0,0.0,100.25158143728444,0.0,0.0,1.0182727507339968,0.0,nan,stable_crossover,True,False,1.0005700061893459,1.8083950605337922,-0.014945657016310133,2.2887867406307015e-09,2.822150139215855e-05,0.9987878244396116,6.37472806532074e-16
mu0,14,13,vector,0,4.25,0.0,0.0,106.91284671813682,0.0,0.0,1.2798854648172306,0.0,nan,stable_crossover,True,False,1.0004629710379904,1.6821841904125254,-0.026614955987494825,7.414391938892356e-10,4.281878517692247e-06,0.9987991878105915,6.369792627748816e-16
mu0,13,12,vector,0,4.0,0.0,0.0,113.64940607335022,0.0,0.0,1.609765843444823,0.0,nan,stable_crossover,True,False,1.0045364945275086,1.5671943521511411,-0.04401649190012717,2.823075975352014e-10,8.87426168840772e-07,0.9987913407440636,6.357715153218472e-16
mu0,12,0,vector,0,3.75,0.0,0.0,120.47625667297962,0.0,0.0,2.0234809725824507,0.0,nan,stable_crossover,True,False,1.0129026828467,1.4625113255089153,-0.06819008846032815,1.6092608691123554e-10,8.868213648664209e-06,0.9987837574184117,6.099234375846979e-16
mu0,0,-1,vector,0,3.5,0.0,0.0,127.4376231208714,0.0,0.0,2.5382648343573027,0.0,nan,stable_crossover,True,False,1.0257187423632592,1.3675654669223045,-0.10002305078379711,1.0897995146195121e-10,1.8795583001346356e-05,nan,8.620444765530342e-16
