stride,n_phi,n_charge,mu_MeV,spinodal_low_T_MeV,spinodal_high_T_MeV,coexistence_T_MeV
2,71,61,722.0,90.56123774191099,98.3720163688927,93.23221611049146
2,71,61,726.0,90.06320158330372,98.2432724791044,92.84418125153876
2,71,61,730.0,89.55958949055598,98.11647904271108,92.45238944996336
2,71,61,734.0,89.05162346439941,97.99184020508174,92.05746994457105
2,71,61,738.0,88.53964576336742,97.86924242531781,91.65850021889086
2,71,61,742.0,88.02356524309543,97.74723150822997,91.25613563807704
2,71,61,746.0,87.50319535431052,97.62565505059081,90.85032153012948
2,71,61,750.0,86.97796599701256,97.50554642409601,90.44118819851836
2,71,61,754.0,86.44844453437237,97.38709766395303,90.02800741245565
2,71,61,758.0,85.91474109925012,97.27053121938111,89.61168141430481
2,71,61,762.0,85.37675466357015,97.1550578627401,89.19172373685394
2,71,61,766.0,84.83460886843919,97.04046593973266,88.76799928145982
2,71,61,770.0,84.28843320511488,96.9269301499755,88.34089632865036
2,71,61,774.0,83.73773604006806,96.81445351650777,87.91077959277635
2,71,61,778.0,83.1828662234189,96.70291937051293,87.47656956048807
2,71,61,782.0,82.6237592809472,96.59281214598292,87.03872949169039
2,71,61,786.0,82.06020025326102,96.48421672019022,86.59742840334675
2,71,61,790.0,81.4930225579657,96.3768310205818,86.15305114954862
2,71,61,794.0,80.92209850792297,96.27048571498177,85.70476302768208
2,71,61,798.0,80.34657171080875,96.16486781097755,85.25316957531521
2,71,61,802.0,79.76652658403508,96.05886822563575,84.79824661071002
2,71,61,806.0,79.18202131871952,95.9544606063751,84.33904038510887
2,71,61,810.0,78.59384458474918,95.8514933591872,83.87631898250345
2,71,61,814.0,78.00288353427062,95.74991148289622,83.41104829039772
2,71,61,818.0,77.40731564263059,95.64969169984424,82.94218461954279
2,71,61,822.0,76.80693814598229,95.54990985939047,82.4688756441189
2,71,61,826.0,76.20170227251572,95.44980159931222,81.99220092255213
