sector,mode,study,N,r_cut,Re_omega,Im_omega,distance_to_shooting,pencil_residual,eigenvalue_condition,right_overlap_previous
singlet,0,radial_resolution,96,10.0,0.7475878903246849,-0.12074274605094436,0.00742965488872967,5.723588839547477e-16,nan,0.9999557682124097
singlet,0,radial_resolution,112,10.0,0.7454084876611873,-0.1256513268525002,0.002520290501680365,6.271549262804997e-16,nan,0.9999925136475667
singlet,0,radial_resolution,128,10.0,0.7456060005415478,-0.127426470872588,0.000859088331488871,7.074842278588073e-16,nan,0.9999994557099428
singlet,0,radial_resolution,144,10.0,0.7459315550855912,-0.1279235994604902,0.00029796641258761445,7.910959746191484e-16,nan,0.9999998012619796
singlet,0,radial_resolution,160,10.0,0.7460989945210162,-0.12803447838372367,0.00010607188612682659,8.819599565389171e-16,503.22250281603766,0.9999998868529348
singlet,0,radial_domain,160,8.0,0.746172898594209,-0.12805018457284956,3.27709078099723e-05,9.074411529492987e-16,nan,nan
singlet,0,radial_domain,160,9.0,0.7461434694449185,-0.12804747248668447,6.149118215810999e-05,8.203512342970784e-16,nan,0.9999999497382339
singlet,0,radial_domain,160,10.0,0.7460989945210162,-0.12803447838372367,0.00010607188612682659,8.819599565389171e-16,nan,0.9999999352607286
singlet,0,radial_domain,160,11.0,0.7460381665235991,-0.12800441614640284,0.0001708969215534537,8.162432190282137e-16,nan,0.9999999051170465
singlet,0,radial_domain,160,12.0,0.7459614347741,-0.12794970121648777,0.0002604290774605721,8.066141455938925e-16,nan,0.9999998632240863
