T_MeV,accepted_by_residual,charge_fraction,horizon_gauge_defect,hydro_D_B_hat,hydro_omega_hat_imag,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,source_determinant_abs,source_singular_value,spinodal_fraction,trajectory
99.9403406997832,True,0.3702295161595172,7.795439358561462e-20,-0.03895331164241223,0.0022437107506029447,9.854027216674207e-18,diffusion,650.0000000001171,0.001317223071139667,0.0,0.0006586115355698335,0.0,True,3.532652625782894,8.350827929723924e-07,0.24,helicity0,8.703128182748709e-13,8.585206230256789e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,3.692415797923035e-20,-0.03895331164241223,0.0026332438670270673,1.3696301334463856e-17,diffusion,650.0000000001171,0.0013850293547524423,0.0,0.0006925146773762212,0.0,True,3.532652625782894,8.34083435135243e-07,0.26,helicity0,7.943647977652544e-13,8.392717122893401e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,5.3152245603686515e-20,-0.03895331164241223,0.0030539396327651193,1.1589435180516903e-17,diffusion,650.0000000001171,0.0014133632042337722,0.0,0.0007066816021168861,0.0,True,3.532652625782894,8.330987519264372e-07,0.28,helicity0,1.3967461197767354e-12,1.583950586542805e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,8.950447897018483e-20,-0.03895331164241223,0.0035057980478171006,1.5487858130086156e-17,diffusion,650.0000000001171,0.0013950601974710907,0.0,0.0006975300987355454,0.0,True,3.532652625782894,8.320466249408883e-07,0.3,helicity0,3.74785169051854e-13,4.57526046185973e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,4.894501861369298e-20,-0.03895331164241223,0.003988819112183013,1.1582145004072646e-17,diffusion,650.0000000001171,0.0013232054321380379,0.0,0.0006616027160690189,0.0,True,3.532652625782894,8.309005529318584e-07,0.32,helicity0,3.72516393483568e-13,4.910356649091834e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,6.59906984174816e-20,-0.03895331164241223,0.005048349188856625,1.1567098878211974e-17,diffusion,650.0000000001171,0.000992675332135384,0.0,0.000496337666067692,0.0,True,3.532652625782894,8.284228160992514e-07,0.36,helicity0,4.883229935553115e-13,7.614114937784811e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,2.5999210766445284e-20,-0.03895331164241223,0.006232529862785959,1.3618161769625747e-17,diffusion,650.0000000001171,0.00037275903460632785,0.0,0.00018637951730316393,0.0,True,3.532652625782894,8.257311192179975e-07,0.4,helicity0,1.1950851456151046e-12,2.2462133777613255e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,5.391922950440819e-20,-0.03895331164241223,0.006871364173721517,9.551243811860394e-18,diffusion,650.0000000001171,-5.9526607949372104e-05,-0.0,-2.9763303974686052e-05,-0.0,True,3.532652625782894,8.242326735022114e-07,0.42,helicity0,9.007833810555932e-13,1.8704923570216395e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,1.4660198103144084e-20,-0.03895331164241223,0.007888045607588478,9.489502366983949e-18,diffusion,650.0000000001171,-0.0008748038587317581,-0.0,-0.00043740192936587904,-0.0,True,3.532652625782894,8.219441684799145e-07,0.45,helicity0,2.1830432861989666e-13,5.291891741938683e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,4.939078255043507e-20,-0.03895331164241223,0.009738327910603058,1.326348577680373e-17,diffusion,650.0000000001171,-0.0027149308968350966,-0.0,-0.0013574654484175483,-0.0,True,3.532652625782894,8.176790755119581e-07,0.5,helicity0,4.910705802041134e-13,1.5428967435589117e-12,0.5,f0.50
