stride,mu_MeV,delta_spinodal_low_T_MeV,delta_spinodal_high_T_MeV,delta_coexistence_T_MeV
4,742.0,-0.0012801991072279861,-0.007370801393975057,-0.0038315237589756634
4,746.0,0.0004068658117404311,-0.00674591820164494,-0.0026371587067899327
4,750.0,0.0005419684438550121,-0.0057272567879351755,-0.0027293032139681372
4,754.0,0.000268041857950152,-0.004218703470826313,-0.002198951215859779
4,758.0,0.00028503567341431335,-0.0018977435471754234,-0.0014896326598545784
4,762.0,0.0005288678687378479,-0.0020538035077635186,-0.0018623469106415769
4,766.0,0.00046853043609473843,-0.0035306935637606784,-0.0017701607329883018
4,770.0,0.00010546557086854591,-0.004585177130294937,-0.0013062696735488544
4,774.0,-0.0003703607326031033,-0.005588405683482733,-0.0001362567076768073
4,778.0,-0.0006471432273826849,-0.00711997388938812,7.737888091696732e-05
4,782.0,-0.0009531680518506391,-0.007867510814108414,-0.0011270049752596378
4,786.0,-0.0010272338382577573,-0.008460543578621582,-0.0020713182852887257
4,790.0,0.0011393195753015561,-0.009142642840529902,-0.002029413939979463
4,794.0,0.0028861951045797696,-0.009345071991774034,-0.0013366451644429844
4,798.0,0.005109995315720539,-0.008636326942180972,0.0006245909747519818
4,802.0,0.0062199239184508315,-0.0072606819304752435,0.00303141438010357
4,806.0,0.006380861921797987,-0.007122648660569553,0.004265772163790871
4,810.0,0.006740919018426439,-0.006829784201343614,0.003070111561385147
4,814.0,0.006201431814247371,-0.006125560514007589,0.002318130898188997
4,818.0,0.005810844480365063,-0.005960985438761668,0.0018165541037404864
4,822.0,0.0043044480689644615,-0.006013915863164243,0.0017167498369730083
4,826.0,0.0021261884059100566,-0.0056119446404068185,0.0019086699259815987
4,830.0,0.00035828200131504673,-0.005451859504859158,0.002791536244686199
4,834.0,0.005834965445842499,-0.005717296685872952,0.0030627824731226383
4,838.0,0.010876806645825354,-0.006005018428467679,0.0040530294422040924
4,842.0,0.014635949160293649,-0.007599928780720688,0.005667738508336129
4,846.0,0.01624887297221278,-0.008616012046132937,0.006768882156450218
4,850.0,0.017753988646660446,-0.009693778308914602,0.008261003442441961
2,598.0,-0.0017326749084958237,-0.0005793778900056168,-0.0015595239228076707
2,602.0,-0.0004194060553146528,-0.0007245741346508794,-0.0010669700636611879
2,606.0,-0.0007687481262905749,-0.0005923440130715107,-0.0009997510064749804
2,610.0,-0.0018927064324998355,-0.0011384177551150287,-0.0014651073168892026
2,614.0,-0.002252294849114378,-0.0013438474746010343,-0.001845068276381312
